OrderId,AreaCode,State,Market,MarketSize,Profit,Margin,Sales,Total Expenses,ProductId,Date,ProductCategory,ProductName,ProductType
3412,206,Washington,West,Small Market,38,77,130,39,2,2010-01-01,Coffee,Columbian,Regular
3413,206,Washington,West,Small Market,39,81,150,42,6,2010-01-01,Espresso,Decaf Espresso,Decaf
3414,206,Washington,West,Small Market,115,186,310,71,8,2010-01-01,Herbal Tea,Chamomile,Decaf
3415,213,California,West,Major Market,203,312,546,109,6,2010-01-01,Espresso,Decaf Espresso,Decaf
3416,216,Ohio,Central,Major Market,67,116,200,49,12,2010-01-01,Tea,Earl Grey,Regular
3417,217,Illinois,Central,Major Market,111,201,345,90,2,2010-01-01,Coffee,Columbian,Regular
3418,217,Illinois,Central,Major Market,53,80,134,27,11,2010-01-01,Tea,Darjeeling,Regular
3419,225,Louisiana,South,Small Market,30,51,85,21,2,2010-01-01,Coffee,Columbian,Regular
3420,239,Florida,East,Major Market,9,111,190,102,5,2010-01-01,Espresso,Caffe Mocha,Regular
3421,239,Florida,East,Major Market,13,66,120,53,9,2010-01-01,Herbal Tea,Lemon,Decaf
3422,253,Washington,West,Small Market,13,66,120,53,5,2010-01-01,Espresso,Caffe Mocha,Regular
3423,253,Washington,West,Small Market,48,89,150,41,12,2010-01-01,Tea,Earl Grey,Regular
3424,254,Texas,South,Major Market,42,83,140,41,9,2010-01-01,Herbal Tea,Lemon,Decaf
3425,262,Wisconsin,Central,Small Market,13,66,120,53,1,2010-01-01,Coffee,Amaretto,Regular
3426,262,Wisconsin,Central,Small Market,9,111,190,102,2,2010-01-01,Coffee,Columbian,Regular
3427,262,Wisconsin,Central,Small Market,34,62,110,28,6,2010-01-01,Espresso,Decaf Espresso,Decaf
3428,262,Wisconsin,Central,Small Market,7,105,180,98,12,2010-01-01,Tea,Earl Grey,Regular
3429,281,Texas,South,Major Market,33,80,140,47,8,2010-01-01,Herbal Tea,Chamomile,Decaf
3430,303,Colorado,Central,Major Market,30,56,100,26,13,2010-01-01,Tea,Green Tea,Regular
3431,303,Colorado,Central,Major Market,54,80,134,26,5,2010-01-01,Espresso,Caffe Mocha,Regular
3432,303,Colorado,Central,Major Market,36,76,140,40,12,2010-01-01,Tea,Earl Grey,Regular
3433,309,Illinois,Central,Major Market,87,139,234,52,3,2010-01-01,Coffee,Decaf Irish Cream,Decaf
3434,309,Illinois,Central,Major Market,203,312,546,109,5,2010-01-01,Espresso,Caffe Mocha,Regular
3435,310,California,West,Major Market,160,245,452,85,9,2010-01-01,Herbal Tea,Lemon,Decaf
3436,312,Illinois,Central,Major Market,95,130,219,35,8,2010-01-01,Herbal Tea,Chamomile,Decaf
3437,314,Missouri,Central,Small Market,-39,11,99,50,9,2010-01-01,Herbal Tea,Lemon,Decaf
3438,314,Missouri,Central,Small Market,9,47,82,38,11,2010-01-01,Tea,Darjeeling,Regular
3439,315,New York,East,Major Market,-172,-44,61,128,5,2010-01-01,Espresso,Caffe Mocha,Regular
3440,319,Iowa,Central,Small Market,11,27,45,16,1,2010-01-01,Coffee,Amaretto,Regular
3441,319,Iowa,Central,Small Market,175,301,546,126,12,2010-01-01,Tea,Earl Grey,Regular
3442,325,Texas,South,Major Market,68,107,190,39,3,2010-01-01,Coffee,Decaf Irish Cream,Decaf
3443,325,Texas,South,Major Market,95,130,219,35,5,2010-01-01,Espresso,Caffe Mocha,Regular
3444,337,Louisiana,South,Small Market,70,113,180,43,5,2010-01-01,Espresso,Caffe Mocha,Regular
3445,337,Louisiana,South,Small Market,48,89,150,41,6,2010-01-01,Espresso,Decaf Espresso,Decaf
